product_code,name,category,is_active
100524,松の司 純大 黒ラベル 1.8L　お父ありがと,日本酒,False
10053,龍神丸　吟醸　生原酒　1.8L,日本酒,True
100531,鳳凰美田　赤判　720ml　お父ありがとう,日本酒,False
100532,越乃寒梅　吟醸・無垢・金無垢　お父さんあ,日本酒,False
100539,九頭龍　大吟醸　720ml　お父さんありがと,日本酒,False
10054,菊姫　大吟醸（箱入）　720ml,日本酒,True
100540,獺祭　39%発泡にごり生酒　720ml　ﾐﾄﾞﾘ,日本酒,False
100541,黒龍　大吟醸＆グラスセットお父さんありが,日本酒,False
100542,九頭龍　大吟醸　1.8L　お父さんありがとう,日本酒,False
100543,鳳凰美田　ゴールドﾌｪﾆｯｸｽ　お父さんありが,日本酒,False
100544,獺祭 純大 23　720ml　箱入　お父さんあり,日本酒,False
100545,お父さありがとう,日本酒,False
100546,播州一献　純米大吟醸　1.8L　お父さんあり,日本酒,False
100547,獺祭 純大23 1.8L　箱入り　お父さんありが,日本酒,False
100548,獺祭 純大39　720ml　箱入り　お父さんあり,日本酒,False
100549,播州一献　純米大吟醸　720ml　お父さんあ,日本酒,False
10055,菊姫　吟（箱入）720ml,日本酒,False
100550,獺祭 純大39 1.8L　箱入り　お父さんありが,日本酒,False
100551,鳳凰美田　赤判　720ml　お父さんありが,日本酒,False
100552,鳳凰美田　赤判　1.8L　お父さんありがとう,日本酒,False
100553,お父さんありがとう,日本酒,False
10056,黒牛　純米　720ml,日本酒,True
100560,黒龍　大吟醸＆グラスセット ﾊﾞﾚﾝﾀｲﾝｷﾞﾌﾄ,日本酒,False
100561,風の森Petit375ml　ﾊﾞﾚﾝﾀｲﾝﾗｯﾋﾟﾝｸﾞ,日本酒,False
100562,十火S・獺祭50　バレンタインセット,日本酒,False
100563,十火S・獺祭3割9分　バレンタインセット,日本酒,False
100564,十火S・獺祭二割三分箱入り　ﾊﾞﾚﾝﾀｲﾝｾｯﾄ,日本酒,False
100565,松の司　大吟醸　アルティマス　720ml　お,日本酒,False
100566,松の司　大吟醸　アルティマス　1.5L　お父,日本酒,False
10057,菊御代　大吟醸　一掴（箱入）　720ml,日本酒,True
100570,楯野川 上流 中取り 1.8L　お父さんありが,日本酒,False
100571,楯野川 純米大吟醸　三十三　720ml　お父さ,日本酒,False
100572,楯野川 純米大吟醸　三十三　1.8L　お父さ,日本酒,False
100577,三諸杉　大吟　金賞受賞　1.8L　お父さんあ,日本酒,False
100578,三諸杉　大吟　金賞受賞　720m　お父さんあ,日本酒,False
100579,宮寒梅　純米大吟醸　至粋　720mlお父さん,日本酒,False
10058,菊御代　大吟醸　一掴斗瓶取り（箱入720ml,日本酒,True
10059,黒牛　純米吟醸　720ml,日本酒,True
10060,黒牛　純米　生原酒　720ml,日本酒,True
10061,黒牛　純米　生原酒　しぼりたて　720ml,日本酒,True
10062,獺祭　純米吟醸　50％　720ml,日本酒,False
10063,獺際　純米吟醸　原酒　45　720ml（終売）,日本酒,False
10064,獺祭　純米大吟醸　三割九分　720ml,日本酒,True
10065,獺祭　純米大吟醸二割三分（ｶｰﾄﾝ無　720ml,日本酒,True
