product_code,name
10071,鉄砲隊 純米吟醸 山田錦 720ml
10072,鉄砲隊　純米吟醸　播州山田　55％　720ml
10073,松の司 純米吟醸 あらばしり 生 720ml
10074,松の司 純米吟醸 みずき 720ml
10075,松の司　純米大吟醸　JAL Original 720ml
10076,松の司 純米大吟醸 陶酔（箱入） 720ml
10077,松の司 純米吟醸 楽 720ml
10078,松の司 大吟醸純米 黒ラベル（箱 720ml
10079,松の司　大吟醸純米　古々酒　１９８９年
10080,松の司 純米大吟醸 竜王山田錦 林 720ml
10081,松の司　純米吟醸アゾラ（生酒）　720ml
10082,松の司　純米吟醸　ひやおろし　720ml
10083,松の司 純米大吟醸 雄町 720ml
10084,龍神丸　大吟醸　生原酒　720ml
10085,龍神丸　純米吟醸　生原酒　720ml
10086,龍神丸　純米　生原酒　720ml
10087,龍神丸　吟醸　生原酒　720ml
10088,龍神丸　純米　生原酒　300ml
10089,松の司　大吟醸　雄町50％　1.8L
10090,松の司　純米吟醸　中取り　1.8L
10091,松の司　純米大吟醸　2002ｽﾍﾟｼｬﾙ　720ml
10092,鉄砲隊　純米吟醸　近江玉栄58%　1.8L
10093,鉄砲隊　純米吟醸　近江玉栄58%　720ml
10094,獺祭　遠心分離三割九分　箱入　720ml
10095,獺祭　遠心分離　純米吟醸　50%　720ml
10096,獺祭　遠心分離三割九分　箱入　1.8L
10097,獺祭　純米大吟醸　45　720ml
10098,獺祭　遠心分離二割三分　箱入　720ml
10099,黒牛　環山　純米大吟醸（箱入）　1.8L
10100,黒牛　環山　純米大吟醸（箱入）　720ml
10101,碧山　黒牛　純米吟醸（箱入）　1.8L
10102,碧山　黒牛　純米吟醸（箱入）　720ml
10103,松の司　出品大吟醸（箱入）　720ml
10104,松の司　出品大吟醸（箱入）　1.8L
10105,喜楽里　純米　原酒　1.8L
10106,喜楽里　純米　原酒　720ml
10107,松の司　大吟醸純米（箱入）　1.8L
10108,睡龍　生もと　純米吟醸　1.8L
10109,睡龍　生もと　純米吟醸　720ml
10110,睡龍　生もと　純米　1.8L
10111,睡龍　生もと　純米　720ml
10112,睡龍　生もとのどぶ　火入　1.8L
10113,睡龍　生もとのどぶ火入720ml使用しない
10114,睡龍　純米　無濾過生原酒　1.8L
10115,睡龍　純米　無濾過生原酒　720ml
10116,睡龍　純米吟醸　無濾過生原酒　1.8L
10117,睡龍　純米吟醸　無濾過生原酒　720ml
10118,喜楽里　純米吟醸　中取り生原酒　1.8L
10119,喜楽里　純米吟醸　生原酒　1.8L
10120,松の司　山廃純米吟醸　心酔　2006　1.8L
10121,松の司　純米吟醸　中取り　720ml
10122,喜楽里　純米吟醸　生原酒　720ml
10123,大那　純米吟醸　那須五百万石　720ml
10124,大那　純米吟醸　那須五百万石　1.8L
10125,大那　特別純米　無濾過生原酒　1.8L
10126,大那　純米大吟醸　無濾過原酒　720ml
10127,大那　純米大吟醸　無濾過原酒　1.8L
10128,大那　純米吟醸　雄町　720ml
10129,大那　純米吟醸　雄町　1.8L
10130,大那　純米吟醸　山田錦　720ml
10131,大那　純米吟醸　山田錦　1.8L
10132,松の司　生もと純米吟醸　心酔　1.8L
10133,松の司　生もと純米吟醸　心酔　720ml
10134,松の司 生もと 純大吟 アゾラ(火入)1.8L
10135,使用禁止コード
10136,睡龍　純米吟醸　720ml　使用しない
10137,松の司　純米吟醸アゾラ（火入）720ml
10138,松の司　大吟醸　Classic　1.5L
10139,睡龍　純米　涼　1.8L
10140,睡龍　生もとのどぶ　火入原酒　1.8L
10141,喜楽里　本醸造原酒　1.8L
10142,喜楽里　本醸造原酒　720ml
10143,黒牛　純米　あきあがり　1.8L
10144,睡龍生もとのどぶ火入720mlBY　使用しない
10145,菊姫　黒吟（箱入）　720ml
10146,大那　純米吟醸　おりがらみ　生　1.8L
10147,松の司 純米大吟醸 竜王山田錦 山面 1.8L
10148,松の司 純米大吟醸 竜王山田錦 山面 720ml
10149,松の司　純米吟醸　竜王渡舟　1.8L
10150,松の司　純米吟醸　竜王渡舟　720ml
10151,上喜元　純米吟醸　山田錦　720ml
10152,上喜元　吟醸　生詰　1.8L
10153,上喜元　特別純米　からくち　1.8L
10154,上喜元　純米吟醸　亀の尾　1.8L
10155,上喜元　純米吟醸　山田錦　1.8L
10156,黒龍　大吟醸　龍（箱入）　1.8L
10157,黒龍　大吟醸　龍（箱入）　720ml
10158,黒龍　大吟醸（箱入）　1.8L
10159,黒龍　大吟醸（箱入）　720ml
10160,黒龍　特吟　1.8L
10161,黒龍　特吟　720ml
10162,黒龍　純吟　1.8L
10163,黒龍　純吟　720ml
10164,黒龍　いっちょらい　1.8L
10165,黒龍　いっちょらい　720ml
10166,黒龍　本醸造　1.8L
10167,九頭龍　逸品　1.8L
10168,黒龍　春しぼり　1.8L
10169,黒龍　春しぼり　720ml
10170,上喜元　超辛純米吟醸　完全発酵　1.8L
10171,黒龍 福ボトル 720ml
10172,黒龍　大吟醸　しずく　720ml
10173,大那　特別純米　那須玉苗　1.8L
10174,大那　純米吟醸　那須五百万石　生　720ml
10175,大那　純米吟醸　那須五百万石　生　1.8L
10176,睡龍　生もとのどぶ　生原酒　1.8L
10177,睡龍　生もとのどぶ　火入　720ml
10178,睡龍　生もと　純米　1.8L　1995年
10179,上喜元　純米吟醸　亀の尾　720ml
10180,黒龍　吟のとびら　150ml
10181,紀土　純米吟醸　1.8L
10182,紀土　純米　1.8L
10183,黒龍 秋あがり 1.8L
10184,黒龍 秋あがり 720ml
10185,九頭龍　純米　1.8L
10186,九頭龍　大吟醸燗酒（箱入）　1.8L
10187,九頭龍　大吟醸燗酒（箱入）　720ml
10188,紀土　純米吟醸　720ml
10189,上喜元　もち米四段仕込み　純米　1.8L
10190,松の司　大吟醸純米　しずく　1.8L
10191,黒龍　石田屋　720ml
10192,黒龍　二左衛門　720ml
10193,黒龍　八十八号　720ml
10194,黒龍　大吟醸　しずく　1.8L
10195,松の司 生もと純米 1.8L
10196,九頭龍　垂れ口　1.8L
10197,九頭龍　垂れ口　720ml
10198,黒龍 純米大吟醸 720ml
10199,澤屋まつもと　RISSIMO　2016　720ml
10200,桃の滴　ＲＩＳＳＩＭＯ　360ml
10201,黒龍　純吟垂れ口　1.8L
10202,黒龍　純吟垂れ口　720ml
10203,松の司 生もと純米生原酒 1.8L
10204,松の司　生もと純米　生原酒　720ml
10205,黒龍　火いら寿　720ml
10206,日高見　純米吟醸　1.8L
10207,日高見　山田錦　中取り純米　生　1.8L
10208,日高見　山田錦　純米　1.8L
10209,日高見　天竺純米吟醸　短稈渡船　生　1.8L
10210,日高見　天竺　純米吟醸　愛山　火入　1.8L
10211,日高見　天竺　純米吟醸　山田穂　生　1.8L
10212,南部美人　純米吟醸　愛山　1.8L
10213,南部美人　純米吟醸　愛山　720ml
10214,南部美人　純米吟醸　山田錦　1.8L
10215,南部美人　純米吟醸　山田錦　720ml
10216,南部美人　純米吟醸　美山錦　1.8L
10217,南部美人　純米吟醸　美山錦　720ml
10218,南部美人　純米吟醸　無濾過生原酒　1.8L
10219,南部美人　純米吟醸　無濾過生原酒　720ml
10220,南部美人　純米大吟醸　720ml
10221,睡龍生もとのどぶ生原酒720ml　使用しない
10222,獺祭　純米大吟醸　磨き二割三分　180ml
10223,獺祭　純米大吟醸　遠心分離　50％　1.8L
10224,日高見　純米吟醸　720ml
10225,日高見　山田錦　純米　720ml
10226,上喜元　純米吟生原酒　仕込38号　1.8L
10227,黒牛　純米吟醸　雄町　　1.8L
10228,御湖鶴　金紋錦　純米吟醸　La Terra　1.8L
10229,上喜元　純米吟醸　酒和地　1.8L
10230,國権　山廃　特別純米酒　1.8L
10231,國権　特別純米　夢の香　1.8L
10232,國権　純米吟醸　1.8L
10233,田酒　特別純米　720ml
10234,白瀑　純米　酒こまち　1.8L
10235,白瀑『ど辛口』純米酒　1.8L
10236,白瀑　山本　純米吟醸　1.8L
10237,白瀑　山本　純米吟醸　720ml
10238,白瀑　純米吟醸　備前雄町　1.8L
10239,白瀑　純米吟醸　備前雄町　720ml
10240,白瀑　純米吟醸原酒　山田錦　1.8L
10241,白瀑　純米吟醸原酒　山田錦　720ml
10242,白瀑　特別純米生 酒こまち 6号酵母1.8L
10243,白瀑　特別純米生 酒こまち 6号酵母 720ml
10244,白瀑　特別純米生 酒こまち 7号酵母1.8L
10245,白瀑　特別純米生　酒こまち 7号酵母720ml
10246,黒龍　つるかめ　セット
10247,陸奥八仙　ISARIBI純米　火入　1.8L
10248,陸奥八仙  ISARIBI純米　火入　720ml
10249,陸奥八仙 純米吟醸 黒ラベル 火入れ　1.8L
10250,陸奥八仙　特別純米　赤ラベル生　1.8L
10251,陸奥八仙　槽酒特別純米無ろ過生原酒1.8L
10252,九頭龍　純米　150ml
10253,日高見　超辛口　純米　1.8L
10254,獺祭　純米大吟醸　45　180ml
10255,獺祭 純米大吟醸 45 温め酒 1.8L
10256,獺祭　純米大吟醸　三割九分　180ml
10257,獺祭　純米吟醸50%　180ml
10258,九頭龍　燗たのしセット
10259,陸奥八仙 ピンク 吟醸 生酒 1.8L
10260,陸奥八仙 ピンク 吟醸 生酒 720ml
10261,陸奥八仙　　ISARIBI純米　生原酒　1.8L
10262,陸奥八仙　純米吟醸　中汲み生原酒　720ml
10263,陸奥八仙　夏吟醸 火入れ　1.8Ｌ
10264,陸奥八仙　夏吟醸 火入れ　720ml
10265,松の司 生もと純米 720ml
10266,白瀑　特別純米 吟の精仕込み　1.8L
10267,白瀑　特別純米 吟の精仕込み　720ml
10268,九頭龍　逸品　720ml
10269,白瀑　純米　山田錦　1.8L
10270,宮寒梅　純米大吟醸　美山錦45%　1.8L
10271,獺祭　三割九分　発泡にごり生酒　720ml
10272,獺祭　遠心分離二割三分　箱入り　1.8L
10273,宮寒梅　特別純米 Mr.Summer Time　1.8L
10274,宮寒梅　純米吟醸　SPRINGTIME　720ml
10275,宮寒梅　純米吟醸　SPRINGTIME　1.8L
10276,獺祭　発泡にごり生酒 50　360ml
10277,陸奥八仙　特別純米　赤ラベル生酒　720ml
10278,宮寒梅　醇麗純香　純米大吟醸　生酒　720ml
10279,日高見 天竺 純米吟醸 愛山 火入 720ml
10280,陸奥八仙 純吟 黒ラベル 火入れ 720ml
10281,陸奥八仙　芳醇超辛　純米無濾過生原　1.8L
10282,日高見　天竺純米吟醸　短稈渡船火入　1.8L
10283,龍神丸　純米　生原酒　300ml　2本組
10284,獺祭　三割九分　発泡にごり生酒　360ml
10285,手取川　吟醸本生　あらばしり　720ml
10286,手取川　吟醸本生　あらばしり　1.8L
10287,手取川　純米　吉田蔵　1.8L
10288,手取川　大吟醸　吉田蔵　1.8L
10289,出羽桜　特別純米　一耕　本生　1.8L
10290,出羽桜　特別純米　一耕　本生　720ml
10291,白瀑　大吟醸　美山錦　720ml
10292,白瀑　大吟醸　美山錦　1.8L
10293,日高見　天竺　純米吟醸山田穂　火入れ1.8L
10294,獺祭　ミニボトル　飲み比べ3本セット
10295,九頭龍 氷やし酒 1.8L
10296,九頭龍 氷やし酒 720ml
10297,宮寒梅　燗酒純米吟醸　冬咲き燗　1.8L
10298,紀土　純米吟醸　shibata's　1.8L
10299,黒龍　純吟三十八号＆グラスセット
10300,獺祭　純米大吟　遠心50％おりがらみ　1.8L
10301,獺祭　純米大吟　遠心50%おりがらみ　720ml
10302,獺祭　純米大吟　遠心39%おりがらみ　1.8L
10303,獺祭　純米大吟　遠心39%おりがらみ　720ml
10304,鳳凰美田　剣　辛口純米　1.8L
10305,鳳凰美田　初しぼり純米吟醸　1.8L
10306,鳳凰美田　初しぼり純米吟醸　720ml
10307,鳳凰美田 純米大吟醸 水分神 MIKUMARI 火入 720ml
10308,鳳凰美田 冷卸 純米吟醸 山田錦 720ml
10309,鳳凰美田 冷卸 純米吟醸 五百万石 720ml
10310,三重錦　純米　生酒　上槽直詰め　1.8L
10311,三重錦　純米　生酒　上槽直詰め　720ml
10312,三重錦　純米吟醸　中取り　火入れ　1.8L
10313,三重錦　純米　超辛口　火入れ　1.8L
10314,三重錦　純米大吟山田錦50%　経過簿　1.8L
10315,三重錦　純米大吟山田錦50%　経過簿　720ml
10316,鳳凰美田　しぼりたて吟醸　1.8L
10317,鳳凰美田　しぼりたて吟醸　720ml
10318,宮寒梅　特別純米中汲み生　美山55%　1.8L
10319,宮寒梅　特別純米中汲み生　美山55%　720ml
10320,三重錦　純米　一号うすにごり生　1.8L
10321,三重錦　純米　一号うすにごり生　720ml
10322,陸奥八仙　槽酒特別純米無ろ過生原酒720ml
10323,鳳凰美田　純米吟醸生原酒　碧判　1.8L
10324,松の司　大吟醸　しずく　720ml
10325,松の司　大吟醸純米　しずく　720ml
10326,鳳凰美田　White　Phoenix　1.5L
10327,鳳凰美田　Gold　Phoenix　750ml
10328,獺祭　遠心分離二割三分おりがらみ　1.8L
10329,獺祭 遠心分離 二割三分 元旦届け(箱入) 720ml
10330,鳳凰美田　Wine cell Sparkling　720ml
10331,日高見　本醸造初しぼり　1.8L
10332,日高見　本醸造初しぼり　720ml
10333,松の司 純米吟醸 楽 しぼりたて 720ml
10334,鳳凰美田　純米吟醸無濾過生　芳　1.8L
10335,鳳凰美田　純米吟醸無濾過生　芳　720ml
10336,鳳凰美田　純米大吟醸無濾過生　赤判　1.8L
10337,本紀土 純米大吟醸 1.8L
10338,本紀土 純米大吟醸 720ml
10339,鳳凰美田　純大吟　生　亀粋　髭判　1.8L
10340,三重錦　純米二号須弥酒　忍にん（黒）720m
10341,三重錦　純米　二号うすにごり生　1.8L
10342,三重錦　純米　二号うすにごり生　720ml
10343,三重錦　純米二号須弥酒　忍にん（黒）1.8L
10344,三重錦　純米　超辛口　生　1.8L
10345,日高見　純米吟醸うすにごり　1.8L
10346,鳳凰美田　純米吟醸無濾過生　黒判　1.8L
10347,鳳凰美田　純吟　生　緑判　亀の尾　1.8L
10348,鳳凰美田　純吟　生　緑判　亀の尾　720ml
10349,鳳凰美田　純米吟醸　NO.14　生　1.8L
10350,鳳凰美田　純米吟醸　NO.14　生　720ml
10351,鳳凰美田 純米吟醸 日光～NIKKO～ 生 1.8L
10352,陸奥八仙　純米吟醸直汲み無濾過生　1.8L
10353,陸奥八仙　純米吟醸直汲み無濾過生　720ml
10354,獺祭ミニボトル飲み比べ3本　ﾊﾞﾚﾝﾀｲﾝｷﾞﾌﾄ
10355,	鳳凰美田 純米吟醸 日光～NIKKO～ 生 720ml
10356,宮寒梅　純米吟醸　美山錦45%袋吊る　1.8L
10357,宮寒梅　純米吟醸　美山錦45%袋吊る　720ml
10358,鳳凰美田　純米吟醸無濾過生　白判　1.8L
10359,黒龍　祝樽　1.8L
10360,黒龍　特選吟醸＆グラスセット
10361,三重錦　純米吟醸　中取り　生　1.8L
10362,三重錦　純米吟醸　中取り　生　720ml
10363,鳳凰美田 純吟無濾過生 大地 雄町 1.8Ｌ
10364,鳳凰美田 純吟無濾過生 大地 雄町 720ml
10365,陸奥八仙 純米大吟醸 華想い50 生 720ml
10366,鳳凰美田 純大吟 酒未来 SAKE FUTURE 1.8L
10367,鳳凰美田 純大吟 酒未来 SAKE FUTURE 720ml
10368,鳳凰美田　大吟醸　別誂至高　1.8L
10369,鳳凰美田　大吟醸　別誂至高　720ml
10370,宮寒梅　純米吟醸　美山錦 55%　1.8L
10371,宮寒梅　純米吟醸　美山錦 55% 720ml
10372,宮寒梅　特別純米　蔵の華55%　1.8L
10373,宮寒梅　特別純米　蔵の華55%　720ml
10374,日高見　芳醇辛口純米酒＋８　1.8L
10375,白岳仙　純米吟醸　雄町　中取り　1.8L
10376,白岳仙　純米吟醸　雄町　720ml
10377,白岳仙　純米吟醸　播州山田錦　火入　1.8L
