product_code,name,category,is_active
100551,鳳凰美田　赤判　720ml　お父さんありが,日本酒,FALSE
100552,鳳凰美田　赤判　1.8L　お父さんありがとう,日本酒,FALSE
100553,お父さんありがとう,日本酒,FALSE
10056,黒牛　純米　720ml,日本酒,TRUE
100560,黒龍　大吟醸＆グラスセット ﾊﾞﾚﾝﾀｲﾝｷﾞﾌﾄ,日本酒,FALSE
100561,風の森Petit375ml　ﾊﾞﾚﾝﾀｲﾝﾗｯﾋﾟﾝｸﾞ,日本酒,FALSE
100562,十火S・獺祭50　バレンタインセット,日本酒,FALSE
100563,十火S・獺祭3割9分　バレンタインセット,日本酒,FALSE
100564,十火S・獺祭二割三分箱入り　ﾊﾞﾚﾝﾀｲﾝｾｯﾄ,日本酒,FALSE
100565,松の司　大吟醸　アルティマス　720ml　お,日本酒,FALSE
100566,松の司　大吟醸　アルティマス　1.5L　お父,日本酒,FALSE
10057,菊御代　大吟醸　一掴（箱入）　720ml,日本酒,TRUE
100570,楯野川 上流 中取り 1.8L　お父さんありが,日本酒,FALSE
100571,楯野川 純米大吟醸　三十三　720ml　お父さ,日本酒,FALSE
100572,楯野川 純米大吟醸　三十三　1.8L　お父さ,日本酒,FALSE
100577,三諸杉　大吟　金賞受賞　1.8L　お父さんあ,日本酒,FALSE
100578,三諸杉　大吟　金賞受賞　720m　お父さんあ,日本酒,FALSE
100579,宮寒梅　純米大吟醸　至粋　720mlお父さん,日本酒,FALSE
10058,菊御代　大吟醸　一掴斗瓶取り（箱入720ml,日本酒,TRUE
10059,黒牛　純米吟醸　720ml,日本酒,TRUE
10060,黒牛　純米　生原酒　720ml,日本酒,TRUE
10061,黒牛　純米　生原酒　しぼりたて　720ml,日本酒,TRUE
10062,獺祭　純米吟醸　50％　720ml,日本酒,FALSE
10063,獺際　純米吟醸　原酒　45　720ml（終売）,日本酒,FALSE
10064,獺祭　純米大吟醸　三割九分　720ml,日本酒,TRUE
10065,獺祭　純米大吟醸二割三分（ｶｰﾄﾝ無　720ml,日本酒,TRUE
10066,獺祭　発泡にごり生酒 50　720ml,日本酒,FALSE
10067,天狗舞　大吟醸　吟こうぶり（箱入　720ml,日本酒,FALSE
10068,天狗舞　古古酒　純米大吟醸（箱入　720ml,日本酒,FALSE
10069,出羽桜　一路　純米大吟醸　720ml,日本酒,TRUE
10070,鉄砲隊　吟醸　近江玉栄　58％　720ml,日本酒,FALSE
10071,鉄砲隊 純米吟醸 山田錦 720ml,日本酒,TRUE
10072,鉄砲隊　純米吟醸　播州山田　55％　720ml,日本酒,FALSE
10073,松の司 純米吟醸 あらばしり 生 720ml,日本酒,TRUE
10074,松の司 純米吟醸 みずき 720ml,日本酒,FALSE
10075,松の司　純米大吟醸　JAL Original 720ml,日本酒,FALSE
10076,松の司 純米大吟醸 陶酔（箱入） 720ml,日本酒,FALSE
10077,松の司 純米吟醸 楽 720ml,日本酒,TRUE
10078,松の司 大吟醸純米 黒ラベル（箱 720ml,日本酒,TRUE
10079,松の司　大吟醸純米　古々酒　１９８９年,日本酒,FALSE
10080,松の司 純米大吟醸 竜王山田錦 林 720ml,日本酒,FALSE
10081,松の司　純米吟醸アゾラ（生酒）　720ml,日本酒,FALSE
10082,松の司　純米吟醸　ひやおろし　720ml,日本酒,FALSE
10083,松の司 純米大吟醸 雄町 720ml,日本酒,FALSE
10084,龍神丸　大吟醸　生原酒　720ml,日本酒,TRUE
10085,龍神丸　純米吟醸　生原酒　720ml,日本酒,TRUE
10086,龍神丸　純米　生原酒　720ml,日本酒,TRUE
10087,龍神丸　吟醸　生原酒　720ml,日本酒,TRUE
10088,龍神丸　純米　生原酒　300ml,日本酒,FALSE
10089,松の司　大吟醸　雄町50％　1.8L,日本酒,FALSE
10090,松の司　純米吟醸　中取り　1.8L,日本酒,FALSE
10091,松の司　純米大吟醸　2002ｽﾍﾟｼｬﾙ　720ml,日本酒,FALSE
10092,鉄砲隊　純米吟醸　近江玉栄58%　1.8L,日本酒,FALSE
10093,鉄砲隊　純米吟醸　近江玉栄58%　720ml,日本酒,FALSE
10094,獺祭　遠心分離三割九分　箱入　720ml,日本酒,FALSE
10095,獺祭　遠心分離　純米吟醸　50%　720ml,日本酒,FALSE
10096,獺祭　遠心分離三割九分　箱入　1.8L,日本酒,FALSE
10097,獺祭　純米大吟醸　45　720ml,日本酒,TRUE
10098,獺祭　遠心分離二割三分　箱入　720ml,日本酒,TRUE
10099,黒牛　環山　純米大吟醸（箱入）　1.8L,日本酒,TRUE
10100,黒牛　環山　純米大吟醸（箱入）　720ml,日本酒,TRUE
10101,碧山　黒牛　純米吟醸（箱入）　1.8L,日本酒,TRUE
10102,碧山　黒牛　純米吟醸（箱入）　720ml,日本酒,TRUE
10103,松の司　出品大吟醸（箱入）　720ml,日本酒,FALSE
10104,松の司　出品大吟醸（箱入）　1.8L,日本酒,FALSE
10105,喜楽里　純米　原酒　1.8L,日本酒,FALSE
10106,喜楽里　純米　原酒　720ml,日本酒,FALSE
10107,松の司　大吟醸純米（箱入）　1.8L,日本酒,FALSE
10108,睡龍　生もと　純米吟醸　1.8L,日本酒,FALSE
10109,睡龍　生もと　純米吟醸　720ml,日本酒,FALSE
10110,睡龍　生もと　純米　1.8L,日本酒,FALSE
10111,睡龍　生もと　純米　720ml,日本酒,FALSE
10112,睡龍　生もとのどぶ　火入　1.8L,日本酒,TRUE
10113,睡龍　生もとのどぶ火入720ml使用しない,日本酒,FALSE
10114,睡龍　純米　無濾過生原酒　1.8L,日本酒,FALSE
10115,睡龍　純米　無濾過生原酒　720ml,日本酒,FALSE
10116,睡龍　純米吟醸　無濾過生原酒　1.8L,日本酒,FALSE
10117,睡龍　純米吟醸　無濾過生原酒　720ml,日本酒,FALSE
10118,喜楽里　純米吟醸　中取り生原酒　1.8L,日本酒,TRUE
10119,喜楽里　純米吟醸　生原酒　1.8L,日本酒,FALSE
10120,松の司　山廃純米吟醸　心酔　2006　1.8L,日本酒,FALSE
10121,松の司　純米吟醸　中取り　720ml,日本酒,FALSE
10122,喜楽里　純米吟醸　生原酒　720ml,日本酒,FALSE
10123,大那　純米吟醸　那須五百万石　720ml,日本酒,FALSE
10124,大那　純米吟醸　那須五百万石　1.8L,日本酒,FALSE
10125,大那　特別純米　無濾過生原酒　1.8L,日本酒,FALSE
10126,大那　純米大吟醸　無濾過原酒　720ml,日本酒,FALSE
10127,大那　純米大吟醸　無濾過原酒　1.8L,日本酒,FALSE
10128,大那　純米吟醸　雄町　720ml,日本酒,FALSE
10129,大那　純米吟醸　雄町　1.8L,日本酒,FALSE
10130,大那　純米吟醸　山田錦　720ml,日本酒,FALSE
10131,大那　純米吟醸　山田錦　1.8L,日本酒,FALSE
10132,松の司　生もと純米吟醸　心酔　1.8L,日本酒,FALSE
10133,松の司　生もと純米吟醸　心酔　720ml,日本酒,FALSE
10134,松の司 生もと 純大吟 アゾラ(火入)1.8L,日本酒,FALSE
10135,使用禁止コード,日本酒,FALSE
10136,睡龍　純米吟醸　720ml　使用しない,日本酒,FALSE
10137,松の司　純米吟醸アゾラ（火入）720ml,日本酒,FALSE
10138,松の司　大吟醸　Classic　1.5L,日本酒,FALSE
10139,睡龍　純米　涼　1.8L,日本酒,FALSE
10140,睡龍　生もとのどぶ　火入原酒　1.8L,日本酒,FALSE
10141,喜楽里　本醸造原酒　1.8L,日本酒,FALSE
10142,喜楽里　本醸造原酒　720ml,日本酒,FALSE
10143,黒牛　純米　あきあがり　1.8L,日本酒,TRUE
10144,睡龍生もとのどぶ火入720mlBY　使用しない,日本酒,FALSE
10145,菊姫　黒吟（箱入）　720ml,日本酒,TRUE
10146,大那　純米吟醸　おりがらみ　生　1.8L,日本酒,FALSE
10147,松の司 純米大吟醸 竜王山田錦 山面 1.8L,日本酒,FALSE
10148,松の司 純米大吟醸 竜王山田錦 山面 720ml,日本酒,FALSE
